#(id,from,to,speed,planTime)
(10000, 15, 35, 6, 1)
(10001, 16, 34, 6, 1)
(10002, 7, 31, 4, 1)
(10003, 34, 7, 4, 1)
(10004, 22, 2, 2, 1)
(10005, 20, 2, 2, 1)
(10006, 21, 2, 6, 1)
(10007, 23, 2, 2, 1)
(10008, 31, 1, 6, 1)
(10009, 30, 8, 6, 1)
(10010, 33, 2, 2, 1)
(10011, 15, 33, 2, 1)
(10012, 21, 2, 6, 1)
(10013, 35, 12, 2, 1)
(10014, 16, 36, 2, 1)
(10015, 1, 28, 2, 1)
(10016, 22, 1, 2, 1)
(10017, 9, 32, 6, 1)
(10018, 13, 31, 4, 1)
(10019, 15, 35, 2, 1)
(10020, 27, 5, 6, 1)
(10021, 12, 35, 4, 1)
(10022, 4, 30, 2, 1)
